epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,50182.9,0.76673,0.4255,0.9498,0.85628,0.75717,0.81836,0.54332,1.19171,0.72114,1.21133,0.001156,0.001156,0.001156
136,50553.4,0.76105,0.42384,0.95335,0.85914,0.75523,0.81834,0.54324,1.19178,0.72232,1.21169,0.00109,0.00109,0.00109
137,50923.6,0.75645,0.42549,0.95299,0.85489,0.75876,0.81819,0.54342,1.19217,0.72317,1.21238,0.001024,0.001024,0.001024
138,51293.5,0.74758,0.41747,0.94718,0.85392,0.75922,0.81816,0.54352,1.19282,0.72413,1.2131,0.000958,0.000958,0.000958
139,51663.2,0.74796,0.41442,0.94754,0.85345,0.75805,0.81737,0.54343,1.19309,0.72482,1.21354,0.000892,0.000892,0.000892
140,52033.4,0.73825,0.41126,0.94265,0.85496,0.75781,0.81744,0.5435,1.19315,0.72591,1.21397,0.000826,0.000826,0.000826
141,52421.7,0.70429,0.35487,0.91425,0.85471,0.75738,0.817,0.54373,1.19394,0.72652,1.21452,0.00076,0.00076,0.00076
142,52792.1,0.68804,0.34611,0.90833,0.85553,0.75654,0.81682,0.54338,1.19335,0.72726,1.21449,0.000694,0.000694,0.000694
143,53162,0.67853,0.34213,0.90375,0.8552,0.75597,0.81674,0.5433,1.19336,0.72852,1.21479,0.000628,0.000628,0.000628
144,53531.3,0.66951,0.33486,0.90238,0.85684,0.75344,0.81657,0.54317,1.19337,0.72954,1.21527,0.000562,0.000562,0.000562
145,53901,0.66546,0.33333,0.89976,0.85683,0.75259,0.81611,0.5434,1.19348,0.73113,1.21573,0.000496,0.000496,0.000496
146,54270.6,0.65957,0.33064,0.90085,0.85634,0.75372,0.81624,0.54331,1.19365,0.73189,1.21624,0.00043,0.00043,0.00043
147,54641,0.65185,0.3281,0.89559,0.86725,0.7444,0.81559,0.54331,1.19351,0.73313,1.2168,0.000364,0.000364,0.000364
148,55011.6,0.64921,0.32712,0.89247,0.8669,0.74559,0.81529,0.54334,1.19365,0.73398,1.21748,0.000298,0.000298,0.000298
149,55380.9,0.64139,0.31939,0.89562,0.86152,0.75003,0.81514,0.54325,1.19407,0.73515,1.21824,0.000232,0.000232,0.000232
150,55750.9,0.63822,0.31742,0.88941,0.85831,0.75188,0.81495,0.54333,1.19453,0.73593,1.21914,0.000166,0.000166,0.000166
